,Адыгея,39.46
,Алтайский край,40.08
,Амурская область,37.9
,Архангельская область,40.15
,Астраханская область,38.52
,Башкортостан,38.57
,Белгородская область,41.13
,Брянская область,41.28
,Бурятия,35.5
,Владимирская область,41.86
,Волгоградская область,40.87
,Вологодская область,39.89
,Воронежская область,41.92
,Дагестан,32.29
,Еврейская автономная область,37.63
,Забайкальский край,35.9
,Ивановская область,41.75
,Ингушетия,30.65
,Иркутская область,37.42
,Кабардино-Балкария,36.46
,Калининградская область,39.8
,Калмыкия,37.17
,Калужская область,41.44
,Камчатский край,37.87
,Карачаево-Черкесия,37.64
,Карелия,40.48
,Кемеровская область,39.28
,Кировская область,41.35
,Костромская область,40.93
,Краснодарский край,39.97
,Красноярский край,38.18
,Крым,40.91
,Курганская область,40.9
,Курская область,41.57
,Ленинградская область,41.7
,Липецкая область,41.57
,Магаданская область,38.26
,Марий Эл,39.19
,Мордовия,41.61
,Москва,41.89
,Московская область,40.06
,Мурманская область,38.49
,Ненецкий автономный округ,35.13
,Нижегородская область,41.16
,Новгородская область,41.66
,Новосибирская область,39.33
,Омская область,39.08
,Оренбургская область,39.09
,Орловская область,41.8
,Пензенская область,42.14
,Пермский край,38.81
,Приморский край,39.46
,Псковская область,41.97
,Республика Алтай,33.99
,Республика Коми,38.22
,Республика Тыва,29.49
,Ростовская область,40.76
,Рязанская область,42.49
,Самарская область,40.73
,Санкт-Петербург,41.24
,Саратовская область,41.11
,Сахалинская область,38.59
,Свердловская область,39.5
,Севастополь,40.72
,Северная Осетия,37.94
,Смоленская область,41.72
,Ставропольский край,39.0
,Тамбовская область,42.9
,Татарстан,39.11
,Тверская область,41.94
,Томская область,38.01
,Тульская область,42.96
,Тюменская область,37.11
,Удмуртия,38.68
,Ульяновская область,41.64
,Хабаровский край,38.27
,Хакасия,37.69
,Ханты-Мансийский автономный округ,34.65
,Челябинская область,39.4
,Чечня,28.2
,Чувашия,39.5
,Чукотский автономный округ,34.85
,Якутия,34.11
,Ямало-Ненецкий автономный округ,33.33
,Ярославская область,41.47
